Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
3;03-MAYOR A PUNTO DE PEDIDO;1000007;ZSTO;ELEMENTO FILTRO DE CABINA;MR01;0223;;V1;1;HB;3;2;0;0;0;0;F05;FILTRO AIRE CABINA;215222,3;JOHN DEERE // JOHN DEERE;AT315957 // AT528017;FILTROS;TOPADOR JD 850;8-VARIOS;0,133;0;KG;402,6;15;215222,3;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1001673;ZSTO;ALAMBRE 1.42MM NEGRO RECOCIDO P ATAR XKG;MR01;0223;;V1;30;HB;68;25;0;0;0;0;C08;ACERO;85330,75;;MÚLT. 45/50 KG;ACEROS;ALAMBRES;1-ALAMBRE;1;0;KG;747,477;20;85330,71;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001681;ZSTO;FICHA T.STECK MACHO 380V 32A T N XUN;MR01;0223;;V1;4;HB;8;4;0;0;0;0;C11;ELECTRICIDAD;28310,36;;;ELECTRICIDAD;FICHAS;8-VARIOS;0,22;0;KG;423,9;15;28310,35;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001682;ZSTO;MAMELUCODE CLAMINADOL XL60GRBLANCO;MR01;0223;;V1;4;HB;9;9;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;77463,81;;FABRICANTE:DUPONT | MODELO:TYVEK 500;SEGURIDAD;INDUMENTARIA;8-VARIOS;0,195;0;KG;2232;21;77463,85;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1001690;ZSTO;ANTEOJO INCOLORO;MR01;0223;;V1;5;HB;11;17;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;13693,67;LIBUS;MIGHC;SEGURIDAD;ACCESORIO SEGURIDAD;9-FRAGIL;0,028;0;KG;525;15;13693,59;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1001691;ZSTO;ANTEOJO GRIS;MR01;0223;;V1;10;HB;23;32;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;100676,16;LIBUS;MIGHC;SEGURIDAD;ACCESORIO SEGURIDAD;9-FRAGIL;0,028;0;KG;506,25;21;100676,24;;;;;1;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001697;ZSTO;GUANTE VAQUETA MEDIO PASEO T.10;MR01;0223;;V1;8;HB;18;16;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;31939,52;;MÚLT. 12U;SEGURIDAD;GUANTE;8-VARIOS;0,122;0;KG;650;21;31939,55;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1001698;ZSTO;GUANTE ALGODON MOTEADO;MR01;0223;;V1;8;HB;18;22;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;11809,82;;MÚLT. 12U;SEGURIDAD;GUANTE;8-VARIOS;0,062;0;KG;308;21;11809,77;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1001701;ZSTO;GUANTE NITRILO AZUL PUÑO ELASTIZADO;MR01;0223;;V1;8;HB;18;20;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;75313,6;;;SEGURIDAD;GUANTE;8-VARIOS;0,113;0;KG;156,25;21;75313,59;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1001706;ZSTO;GUANTE LATEX USO MEDICINAL CAJA X 100 UN;MR01;0223;;V1;1;HB;2;4;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;21267,24;;;SEGURIDAD;GUANTE;8-VARIOS;0,625;0;KG;1320;21;21267,22;;;;;1;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001708;ZSTO;GUANTE POLIAMIDA LAMINADO PALMAPU-TALLE9;MR01;0223;;V1;16;HB;36;31;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;19149,63;;MÚLT. 12U;SEGURIDAD;GUANTE;8-VARIOS;0,028;0;KG;500;21;19149,51;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001744;ZSTO;BOTA GOMA P.ACERO N 40;MR01;0223;;V1;2;HB;3;2;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;37831,08;;;SEGURIDAD;CALZADO;8-VARIOS;2,065;0;KG;20328;20;37831,07;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001745;ZSTO;BOTA GOMA P.ACERO N 41;MR01;0223;;V1;2;HB;3;2;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;45541,48;;;SEGURIDAD;CALZADO;8-VARIOS;2,235;0;KG;20328;20;45541,49;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001746;ZSTO;BOTA GOMA P.ACERO N 42;MR01;0223;;V1;2;HB;3;3;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;68840,52;;;SEGURIDAD;CALZADO;8-VARIOS;2,259;0;KG;18792;20;68840,53;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1001747;ZSTO;BOTA GOMA P.ACERO N 43;MR01;0223;;V1;2;HB;3;1;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;19285,51;;;SEGURIDAD;CALZADO;8-VARIOS;2,348;0;KG;19488;20;19285,51;;1;;;;;1;;
