Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;ESTADO ITEM;NRO. VA01/VA21;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00314 CASA Olavarría;1003694;ZSTO;PIN STOP;DAEMO ENGI;B36610143;MM01;26;V1;1;3;C29;FILTROS/RESPUESTOS;REPUESTOS;DAEMO;KG;ZPAS;SIN TRATAMIENTO;1000081909;;;;;13/2/2026;28/1/2026;;
00314 CASA Olavarría;1004282;ZSTO;KIT SELLO MARTILLO;DAEMO ENGI;B36680041;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;DAEMO B300;KG;ZPAN;RECEPCIONADO;1000084302;4500122305;30/4/2026;;;20/5/2026;6/3/2026;C29;10144761
00314 CASA Olavarría;1003742;ZSTO;COUMPLING SCREW;DAEMO ENGI;00605A0000002;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;DAEMO B-Series;KG;ZPAN;RECEPCIONADO;1000084302;4500122305;30/4/2026;;;20/5/2026;6/3/2026;C29;10144761
00314 CASA Olavarría;1055004;ZSTO;KIT PASTILLA DE FRENO -  F. RUTA HD465;;566-32-53221;MM01;26;V1;2;4;C03;EQUIPOS;REPUESTOS;?;KG;ZPAN;DESPACHADO;1000085797;4500124213;11/6/2026;11/6/2026;16/6/2026;22/4/2026;31/3/2026;C03;10146657
00314 CASA Olavarría;1016259;ZSTO;Filtro Cabina Polen de Entrada;ATLAS COPC;2653252367;MM01;26;V1;1;2;F05;FILTRO AIRE CABINA;FILTROS;PERFORADORA ATLAS T45-12;KG;ZPAS;DESPACHADO;1000086827;;;11/6/2026;16/6/2026;4/5/2026;18/4/2026;;
00314 CASA Olavarría;1016260;ZSTO;Filtro Cabina Polen Exterior;ATLAS COPC;2653252359;MM01;26;V1;1;2;F05;FILTRO AIRE CABINA;FILTROS;PERFORADORA ATLAS T45-12;KG;ZPAS;DESPACHADO;1000086827;;;11/6/2026;16/6/2026;4/5/2026;18/4/2026;;
00314 CASA Olavarría;1035683;ZSTO;ALZA CRISTAL DERECHO;;56B-54-14361;MM01;26;RE;1;2;C03;EQUIPOS;REPUESTOS;KOMATSU HD785;KG;ZPAN;DESPACHADO;1000087375;4500126606;11/6/2026;11/6/2026;16/6/2026;19/5/2026;28/4/2026;C03;10148743
00314 CASA Olavarría;1001898;ZSTO;BOBINA DE PAPEL 25 X 400MTS X UN;ELEGANTE // ELITE;1003 (MÚLT. 2U) // 6264;MR01;314;V1;4;8;C17;INSUMOS A;LIMPIEZA;INSUMOS;KG;ZPAN;RECEPCIONADO PARCIAL;1000087796;4500127227;11/5/2026;;;27/5/2026;5/5/2026;C01;10149254
00314 CASA Olavarría;1001961;ZSTO;CINTA AISLADORA NEGRA X10MT;;;MR01;314;V1;13;23;C27;FERRETERIA MR01;FERRETERIA;INSUMOS;KG;ZPAS;PICKEADO;1000088520;;;16/6/2026;;1/6/2026;16/5/2026;;
00223 Comp Amb Santa Fe;1001757;ZSTO;BOTIN MARRON/NEGRO FLOR P.ACERO N 41;CONWORK // VORAN // CALZADOS A // // // // BORIS;53BAF // CRONOS N T41 // ESCORPIO PRUS 1050 T41 // RINGO MOD BOLT TALLE 41 // RINGO-MOD PUNCH TALLE 41 // SKIWAY MOD. 3243 T41 // 3305 T41;MR01;223;V1;1;2;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;ZPAS;DESPACHADO;1000089128;;;28/5/2026;17/6/2026;16/6/2026;27/5/2026;;
00223 Comp Amb Santa Fe;1001744;ZSTO;BOTA GOMA P.ACERO N 40;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;ZPAS;DESPACHADO;1000089128;;;28/5/2026;17/6/2026;16/6/2026;27/5/2026;;
00314 CASA Olavarría;1022978;ZSTO;ESPACIADOR;;7D-2955;MM01;26;RE;2;4;C03;EQUIPOS;?;?;KG;ZPAN;ADJUDICADO;1000089129;4500129018;;;;11/6/2026;27/5/2026;C03;10151058
00314 CASA Olavarría;1056409;ZSTO;SENSOR DE PRESION;;418-43-37681;MM01;26;RE;1;3;C03;EQUIPOS;;;KG;ZPAN;ADJUDICADO;1000089141;4500129372;;;;16/6/2026;27/5/2026;C03;10151077
00223 Comp Amb Santa Fe;1003031;ZSTO;FILTRO DE COMBUSTIBLE;CATERPILLA;1R1804;MR01;223;V1;2;3;F06;FILTRO COMBUSTIBLE;FILTROS;CAT;KG;ZPAS;DESPACHADO;1000089620;;;5/6/2026;17/6/2026;25/6/2026;4/6/2026;;
00223 Comp Amb Santa Fe;1000007;ZSTO;ELEMENTO FILTRO DE CABINA;JOHN DEERE // JOHN DEERE;AT315957 // AT528017;MR01;223;V1;1;3;F05;FILTRO AIRE CABINA;FILTROS;TOPADOR JD 850;KG;ZPAS;DESPACHADO;1000089620;;;16/6/2026;17/6/2026;25/6/2026;4/6/2026;;
