Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
3;03-MAYOR A PUNTO DE PEDIDO;1000007;ZSTO;ELEMENTO FILTRO DE CABINA;MR01;0223;;V1;1;HB;3;1;0;0;0;0;F05;FILTRO AIRE CABINA;110328,37;JOHN DEERE // JOHN DEERE;AT315957 // AT528017;FILTROS;TOPADOR JD 850;8-VARIOS;0,133;0;KG;402,6;15;110328,37;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1001673;ZSTO;ALAMBRE 1.42MM NEGRO RECOCIDO P ATAR XKG;MR01;0223;;V1;30;HB;68;25;0;0;0;0;C08;ACERO;86663,5;;MÚLT. 45/50 KG;ACEROS;ALAMBRES;1-ALAMBRE;1;0;KG;747,477;20;86663,52;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001681;ZSTO;FICHA T.STECK MACHO 380V 32A T N XUN;MR01;0223;;V1;4;HB;8;8;0;0;0;0;C11;ELECTRICIDAD;56576,08;;;ELECTRICIDAD;FICHAS;8-VARIOS;0,22;0;KG;423,9;15;56576,05;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1001690;ZSTO;ANTEOJO INCOLORO;MR01;0223;;V1;5;HB;11;17;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;13693,5;LIBUS;MIGHC;SEGURIDAD;ACCESORIO SEGURIDAD;9-FRAGIL;0,028;0;KG;525;15;13693,58;;;;;1;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001691;ZSTO;ANTEOJO GRIS;MR01;0223;;V1;10;HB;23;22;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;69214,86;LIBUS;MIGHC;SEGURIDAD;ACCESORIO SEGURIDAD;9-FRAGIL;0,028;0;KG;506,25;21;69214,91;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1001697;ZSTO;GUANTE VAQUETA MEDIO PASEO T.10;MR01;0223;;V1;8;HB;18;32;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;72707,2;;MÚLT. 12U;SEGURIDAD;GUANTE;8-VARIOS;0,122;0;KG;650;21;72707,35;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1001698;ZSTO;GUANTE ALGODON MOTEADO;MR01;0223;;V1;8;HB;18;22;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;11781,88;;MÚLT. 12U;SEGURIDAD;GUANTE;8-VARIOS;0,062;0;KG;308;21;11781,81;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1001701;ZSTO;GUANTE NITRILO AZUL PUÑO ELASTIZADO;MR01;0223;;V1;8;HB;18;27;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;101673,36;;;SEGURIDAD;GUANTE;8-VARIOS;0,113;0;KG;156,25;21;101673,34;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1001706;ZSTO;GUANTE LATEX USO MEDICINAL CAJA X 100 UN;MR01;0223;;V1;1;HB;2;4;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;21494,72;;;SEGURIDAD;GUANTE;8-VARIOS;0,625;0;KG;1320;21;21494,73;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1001708;ZSTO;GUANTE POLIAMIDA LAMINADO PALMAPU-TALLE9;MR01;0223;;V1;16;HB;36;82;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;50678,46;;MÚLT. 12U;SEGURIDAD;GUANTE;8-VARIOS;0,028;0;KG;500;21;50678,2;;;;;1;;1;;
